"EmployeeID";"NationalIDNumber";"ContactID";"ManagerID";"Title";"BirthDate";"MaritalStatus";"Gender";"HireDate";"SalariedFlag";"CurrentFlag"
1;"14417807";1209;16;"Production Technician - WC60";"1972-05-15 00:00:00";"M";"M";"1996-07-31 00:00:00";"0";"1"
2;"253022876";1030;6;"Marketing Assistant";"1977-06-03 00:00:00";"S";"M";"1997-02-26 00:00:00";"0";"1"
3;"509647174";1002;12;"Engineering Manager";"1964-12-13 00:00:00";"M";"M";"1997-12-12 00:00:00";"1";"1"
4;"112457891";1290;3;"Senior Tool Designer";"1965-01-23 00:00:00";"S";"M";"1998-01-05 00:00:00";"0";"1"
5;"480168528";1009;263;"Tool Designer";"1949-08-29 00:00:00";"M";"M";"1998-01-11 00:00:00";"0";"1"
6;"24756624";1028;109;"Marketing Manager";"1965-04-19 00:00:00";"S";"M";"1998-01-20 00:00:00";"1";"1"
7;"309738752";1070;21;"Production Supervisor - WC60";"1946-02-16 00:00:00";"S";"F";"1998-01-26 00:00:00";"0";"1"
8;"690627818";1071;185;"Production Technician - WC10";"1946-07-06 00:00:00";"M";"F";"1998-02-06 00:00:00";"0";"1"
9;"695256908";1005;3;"Design Engineer";"1942-10-29 00:00:00";"M";"F";"1998-02-06 00:00:00";"1";"1"
10;"912265825";1076;185;"Production Technician - WC10";"1946-04-27 00:00:00";"S";"M";"1998-02-07 00:00:00";"0";"1"
11;"998320692";1006;3;"Design Engineer";"1949-04-11 00:00:00";"M";"M";"1998-02-24 00:00:00";"1";"1"
12;"245797967";1001;109;"Vice President of Engineering";"1961-09-01 00:00:00";"S";"F";"1998-03-03 00:00:00";"1";"1"
13;"844973625";1072;185;"Production Technician - WC10";"1946-10-01 00:00:00";"M";"M";"1998-03-05 00:00:00";"0";"1"
14;"233069302";1067;21;"Production Supervisor - WC50";"1946-05-03 00:00:00";"M";"M";"1998-03-11 00:00:00";"0";"1"
15;"132674823";1073;185;"Production Technician - WC10";"1946-08-12 00:00:00";"S";"M";"1998-03-23 00:00:00";"0";"1"
16;"446466105";1068;21;"Production Supervisor - WC60";"1946-11-09 00:00:00";"S";"F";"1998-03-30 00:00:00";"0";"1"
17;"565090917";1074;185;"Production Technician - WC10";"1946-05-06 00:00:00";"M";"F";"1998-04-11 00:00:00";"0";"1"
18;"494170342";1069;21;"Production Supervisor - WC60";"1946-09-08 00:00:00";"M";"M";"1998-04-18 00:00:00";"0";"1"
19;"9659517";1075;185;"Production Technician - WC10";"1946-04-30 00:00:00";"M";"F";"1998-04-29 00:00:00";"0";"1"
20;"443968955";1129;173;"Production Technician - WC30";"1967-06-15 00:00:00";"M";"M";"1999-01-02 00:00:00";"0";"1"
21;"277173473";1231;148;"Production Control Manager";"1972-12-04 00:00:00";"M";"M";"1999-01-02 00:00:00";"1";"1"
22;"835460180";1172;197;"Production Technician - WC45";"1952-10-14 00:00:00";"S";"M";"1999-01-03 00:00:00";"0";"1"
23;"687685941";1173;197;"Production Technician - WC45";"1960-11-18 00:00:00";"S";"M";"1999-01-03 00:00:00";"0";"1"
24;"498138869";1113;184;"Production Technician - WC30";"1969-12-03 00:00:00";"S";"M";"1999-01-03 00:00:00";"0";"1"
25;"360868122";1054;21;"Production Supervisor - WC10";"1973-11-26 00:00:00";"S";"M";"1999-01-04 00:00:00";"0";"1"
26;"964089218";1097;108;"Production Technician - WC20";"1972-02-04 00:00:00";"M";"M";"1999-01-05 00:00:00";"0";"1"
27;"384162788";1156;87;"Production Technician - WC40";"1970-12-15 00:00:00";"S";"M";"1999-01-05 00:00:00";"0";"1"
28;"749389530";1258;150;"Network Administrator";"1967-04-28 00:00:00";"S";"M";"1999-01-05 00:00:00";"0";"1"
29;"571658797";1199;14;"Production Technician - WC50";"1976-06-30 00:00:00";"M";"M";"1999-01-06 00:00:00";"0";"1"
30;"535145551";1242;140;"Human Resources Manager";"1966-03-14 00:00:00";"M";"F";"1999-01-07 00:00:00";"1";"1"
31;"761597760";1140;210;"Production Technician - WC40";"1979-01-06 00:00:00";"S";"M";"1999-01-07 00:00:00";"0";"1"
32;"271438431";1122;184;"Production Technician - WC30";"1974-09-26 00:00:00";"S";"M";"1999-01-08 00:00:00";"0";"1"
33;"160739235";1124;135;"Production Technician - WC30";"1973-08-27 00:00:00";"S";"M";"1999-01-08 00:00:00";"0";"1"
34;"586486572";1285;85;"Stocker";"1968-03-20 00:00:00";"S";"F";"1999-01-08 00:00:00";"0";"1"
35;"337752649";1283;85;"Shipping and Receiving Clerk";"1967-04-19 00:00:00";"M";"M";"1999-01-08 00:00:00";"0";"1"
36;"113695504";1183;38;"Production Technician - WC50";"1968-02-27 00:00:00";"M";"F";"1999-01-08 00:00:00";"0";"1"
37;"276751903";1226;7;"Production Technician - WC60";"1980-06-17 00:00:00";"S";"M";"1999-01-09 00:00:00";"0";"1"
38;"630184120";1065;21;"Production Supervisor - WC50";"1979-03-09 00:00:00";"S";"M";"1999-01-09 00:00:00";"0";"1"
39;"545337468";1108;182;"Production Technician - WC20";"1974-12-19 00:00:00";"S";"M";"1999-01-10 00:00:00";"0";"1"
40;"713403643";1167;159;"Production Technician - WC45";"1979-05-17 00:00:00";"M";"F";"1999-01-10 00:00:00";"0";"1"
41;"885055826";1269;200;"Quality Assurance Supervisor";"1966-04-19 00:00:00";"M";"M";"1999-01-10 00:00:00";"1";"1"
42;"441044382";1253;109;"Information Services Manager";"1966-01-13 00:00:00";"S";"F";"1999-01-12 00:00:00";"1";"1"
43;"718299860";1194;74;"Production Technician - WC50";"1962-12-27 00:00:00";"M";"M";"1999-01-13 00:00:00";"0";"1"
44;"685233686";1232;148;"Master Scheduler";"1958-10-19 00:00:00";"S";"M";"1999-01-13 00:00:00";"0";"1"
45;"295971920";1135;210;"Production Technician - WC40";"1979-07-27 00:00:00";"S";"M";"1999-01-13 00:00:00";"0";"1"
46;"95958330";1033;6;"Marketing Specialist";"1977-06-21 00:00:00";"S";"M";"1999-01-13 00:00:00";"0";"1"
47;"332040978";1237;30;"Recruiter";"1968-08-18 00:00:00";"S";"M";"1999-01-14 00:00:00";"0";"1"
48;"857651804";1178;38;"Production Technician - WC50";"1969-08-06 00:00:00";"S";"M";"1999-01-15 00:00:00";"0";"1"
49;"553069203";1280;218;"Maintenance Supervisor";"1966-02-18 00:00:00";"M";"M";"1999-01-15 00:00:00";"1";"1"
50;"351069889";1119;184;"Production Technician - WC30";"1973-05-03 00:00:00";"S";"F";"1999-01-15 00:00:00";"0";"1"
51;"370989364";1060;21;"Production Supervisor - WC40";"1977-09-27 00:00:00";"M";"M";"1999-01-16 00:00:00";"0";"1"
52;"275962311";1162;123;"Production Technician - WC45";"1975-03-10 00:00:00";"S";"M";"1999-01-16 00:00:00";"0";"1"
53;"36151748";1221;18;"Production Technician - WC60";"1975-01-30 00:00:00";"M";"M";"1999-01-16 00:00:00";"0";"1"
54;"540688287";1264;90;"Control Specialist";"1980-05-29 00:00:00";"S";"M";"1999-01-17 00:00:00";"0";"1"
55;"568596888";1103;143;"Production Technician - WC20";"1964-11-16 00:00:00";"S";"M";"1999-01-17 00:00:00";"0";"1"
56;"918737118";1146;210;"Production Technician - WC40";"1976-01-26 00:00:00";"S";"M";"1999-01-18 00:00:00";"0";"1"
57;"801758002";1205;16;"Production Technician - WC60";"1967-01-27 00:00:00";"M";"M";"1999-01-18 00:00:00";"0";"1"
58;"415823523";1181;38;"Production Technician - WC50";"1968-03-28 00:00:00";"S";"M";"1999-01-18 00:00:00";"0";"1"
59;"363923697";1248;139;"Accounts Receivable Specialist";"1966-04-07 00:00:00";"M";"F";"1999-01-19 00:00:00";"0";"1"
60;"674171828";1189;74;"Production Technician - WC50";"1976-10-09 00:00:00";"M";"M";"1999-01-20 00:00:00";"0";"1"
61;"138280935";1130;173;"Production Technician - WC30";"1973-11-19 00:00:00";"M";"F";"1999-01-20 00:00:00";"0";"1"
62;"476115505";1114;184;"Production Technician - WC30";"1967-05-18 00:00:00";"M";"M";"1999-01-22 00:00:00";"0";"1"
63;"502058701";1157;87;"Production Technician - WC40";"1978-06-17 00:00:00";"S";"M";"1999-01-23 00:00:00";"0";"1"
64;"7201901";1055;21;"Production Supervisor - WC10";"1974-05-13 00:00:00";"M";"M";"1999-01-23 00:00:00";"0";"1"
65;"97728960";1098;143;"Production Technician - WC20";"1957-04-02 00:00:00";"M";"M";"1999-01-24 00:00:00";"0";"1"
66;"525932996";1259;42;"Application Specialist";"1975-03-03 00:00:00";"M";"F";"1999-01-24 00:00:00";"1";"1"
67;"843479922";1200;14;"Production Technician - WC50";"1969-09-16 00:00:00";"S";"M";"1999-01-25 00:00:00";"0";"1"
68;"370487086";1141;210;"Production Technician - WC40";"1970-11-05 00:00:00";"M";"M";"1999-01-25 00:00:00";"0";"1"
69;"54759846";1184;38;"Production Technician - WC50";"1977-08-17 00:00:00";"M";"F";"1999-01-26 00:00:00";"0";"1"
70;"619308550";1239;30;"Benefits Specialist";"1974-12-22 00:00:00";"M";"F";"1999-01-26 00:00:00";"0";"1"
71;"121491555";1243;140;"Finance Manager";"1974-11-12 00:00:00";"S";"F";"1999-01-26 00:00:00";"1";"1"
72;"420776180";1286;85;"Stocker";"1974-06-01 00:00:00";"S";"F";"1999-01-27 00:00:00";"0";"1"
73;"604664374";1125;135;"Production Technician - WC30";"1965-12-06 00:00:00";"M";"F";"1999-01-27 00:00:00";"0";"1"
74;"778552911";1066;21;"Production Supervisor - WC50";"1970-05-30 00:00:00";"S";"M";"1999-01-28 00:00:00";"0";"1"
75;"435234965";1168;159;"Production Technician - WC45";"1975-12-26 00:00:00";"M";"M";"1999-01-28 00:00:00";"0";"1"
76;"339712426";1227;7;"Production Technician - WC60";"1974-08-26 00:00:00";"M";"M";"1999-01-28 00:00:00";"0";"1"
77;"403414852";1270;41;"Quality Assurance Technician";"1966-04-07 00:00:00";"S";"M";"1999-01-29 00:00:00";"0";"1"
78;"368920189";1109;182;"Production Technician - WC20";"1977-01-01 00:00:00";"S";"M";"1999-01-29 00:00:00";"0";"1"
79;"811994146";1050;158;"Research and Development Engineer";"1976-07-06 00:00:00";"S";"F";"1999-01-30 00:00:00";"1";"1"
80;"330211482";1211;16;"Production Technician - WC60";"1967-08-11 00:00:00";"M";"F";"1999-01-30 00:00:00";"0";"1"
81;"632092621";1136;210;"Production Technician - WC40";"1967-11-05 00:00:00";"M";"M";"1999-02-01 00:00:00";"0";"1"
82;"264306399";1238;30;"Recruiter";"1974-09-02 00:00:00";"S";"M";"1999-02-02 00:00:00";"0";"1"
83;"981597097";1179;38;"Production Technician - WC50";"1968-07-01 00:00:00";"S";"M";"1999-02-02 00:00:00";"0";"1"
84;"693325305";1222;7;"Production Technician - WC60";"1978-12-21 00:00:00";"M";"F";"1999-02-03 00:00:00";"0";"1"
85;"521265716";1281;21;"Shipping and Receiving Supervisor";"1962-10-11 00:00:00";"S";"M";"1999-02-03 00:00:00";"1";"1"
86;"746373306";1120;184;"Production Technician - WC30";"1971-09-04 00:00:00";"S";"M";"1999-02-03 00:00:00";"0";"1"
87;"750905084";1061;21;"Production Supervisor - WC40";"1973-08-02 00:00:00";"S";"M";"1999-02-04 00:00:00";"0";"1"
88;"514829225";1163;123;"Production Technician - WC45";"1971-01-26 00:00:00";"S";"F";"1999-02-04 00:00:00";"0";"1"
89;"750246141";1206;16;"Production Technician - WC60";"1976-06-20 00:00:00";"M";"F";"1999-02-05 00:00:00";"0";"1"
90;"345106466";1265;200;"Document Control Manager";"1966-03-02 00:00:00";"M";"M";"1999-02-05 00:00:00";"0";"1"
91;"19312190";1137;210;"Production Technician - WC40";"1978-12-28 00:00:00";"M";"F";"1999-02-05 00:00:00";"0";"1"
92;"212801092";1104;143;"Production Technician - WC20";"1979-03-19 00:00:00";"S";"M";"1999-02-05 00:00:00";"0";"1"
